,Label,x,y,Cluster
391,CVE-2017-0931,-32.488052,23.960411,4
392,CVE-2017-13985,-4.5628414,-27.922514,3
393,CVE-2017-12647,-33.41508,24.162992,4
394,CVE-2017-6297,-11.289701,-30.483385,3
395,CVE-2017-17134,16.53625,-8.388547,2
396,CVE-2017-12258,-31.856428,27.237282,4
397,CVE-2017-14857,-4.5303,-28.830395,3
398,CVE-2017-14140,15.15404,-4.905615,2
399,CVE-2017-0191,-4.6532326,-30.038105,3
400,CVE-2017-15322,-12.072187,-30.946358,3
401,CVE-2017-16681,-32.443916,25.217445,4
402,CVE-2017-5602,-10.801344,-30.153852,3
403,CVE-2017-10676,-32.415436,24.816116,4
404,CVE-2017-6961,-11.996165,-30.584269,3
405,CVE-2017-17325,-3.5608964,-28.9837,3
406,CVE-2017-8344,-9.824556,-29.915455,3
407,CVE-2017-8103,-33.484333,24.686874,4
408,CVE-2017-14865,-6.301646,-28.662748,3
409,CVE-2017-10023,-12.925092,-30.085043,3
410,CVE-2017-3877,-5.052832,-28.162,3
411,CVE-2017-1533,-30.696571,27.120062,4
412,CVE-2017-1553,-30.592789,26.98368,4
413,CVE-2017-3319,-3.531799,-30.39235,3
414,CVE-2017-7437,-33.219315,24.953613,4
415,CVE-2017-11664,-4.3548617,-29.19075,3
416,CVE-2017-15216,-33.484333,24.686874,4
417,CVE-2017-6990,-5.647454,-28.591282,3
418,CVE-2017-14425,16.686672,-8.465512,2
419,CVE-2017-3043,-3.82915,-29.97127,3
420,CVE-2017-9581,-3.5745983,-28.839321,3
421,CVE-2017-2836,-4.042181,-28.679836,3
422,CVE-2017-1349,15.437056,-4.6431084,2
423,CVE-2017-1320,-30.626867,27.011726,4
424,CVE-2017-18175,-33.411667,24.114834,4
425,CVE-2017-14612,-3.8158066,-29.07337,3
426,CVE-2017-18049,-11.760302,-30.086124,3
427,CVE-2017-15186,-4.2992225,-28.67058,3
428,CVE-2017-1374,-3.1684427,-30.111286,3
429,CVE-2017-0369,-12.19093,-29.694258,3
430,CVE-2017-1245,-30.435478,27.018604,4
431,CVE-2017-10789,-11.388252,-30.758663,3
432,CVE-2017-12850,-10.752771,-30.181627,3
433,CVE-2017-12123,-11.158418,-29.871023,3
434,CVE-2017-13789,-12.63731,-30.335815,3
435,CVE-2017-7591,-32.866184,24.383907,4
436,CVE-2017-14506,-32.939964,23.840029,4
437,CVE-2017-5521,-3.3583212,-29.6501,3
438,CVE-2017-9764,-33.3724,24.087097,4
439,CVE-2017-11285,-31.853794,25.510267,4
440,CVE-2017-13062,-10.070328,-29.99239,3
441,CVE-2017-8489,15.569712,-5.1197515,2
442,CVE-2017-18219,-4.56069,-29.080618,3
443,CVE-2017-0058,15.292835,-4.80506,2
444,CVE-2017-3308,-12.918348,-30.70635,3
445,CVE-2017-11439,-33.078472,25.615496,4
446,CVE-2017-17280,-3.1969776,-29.949232,3
447,CVE-2017-11439,-33.078472,25.615496,4
448,CVE-2017-17280,-3.1969793,-29.949223,3
449,CVE-2017-9060,13.963645,-4.754653,2
450,CVE-2017-2671,14.200308,-5.0746865,2
451,CVE-2017-2690,13.936203,-4.7361245,2
452,CVE-2017-7542,13.588723,-4.548444,2
